academic	adj. 學院的，理論的
witness	n. 目擊，證人
witty	adj. 機智的，風趣的
worldly	adj. 現世的，世俗的
worthy	adj. 有價值的
wrath	n. 暴怒，狂怒， 憤慨
wring	v. 擰，扭，搾
wry	adj. 諷刺的，歪斜的
yearn	v. 渴望
yell	v. 嚎叫
yelp	v. 喊叫
yen	n. 日元，v. 熱望，渴望
zeal	n. 熱心，熱誠
zealot	n. 熱心者
zealous	adj. 熱心的
zest	n. 濃烈的興趣，熱心
zone	n. 氣候帶
